S1 2 Cm Preheat,,
Default Batch 5,"Date : 15/07/2021, 08:53:35",
Wavelength (nm),ABS,%T
190,1.744,1.8
191,1.767,1.7
192,1.799,1.6
193,1.8,1.6
194,1.813,1.5
195,1.82,1.5
196,1.82,1.5
197,1.828,1.5
198,1.834,1.5
199,1.834,1.5
200,1.824,1.5
201,1.813,1.5
202,1.805,1.6
203,1.784,1.6
204,1.756,1.8
205,1.728,1.9
206,1.693,2
207,1.651,2.2
208,1.608,2.5
209,1.554,2.8
210,1.503,3.1
211,1.447,3.6
212,1.394,4
213,1.343,4.5
214,1.292,5.1
215,1.272,5.3
216,1.234,5.8
217,1.193,6.4
218,1.149,7.1
219,1.107,7.8
220,1.069,8.5
221,1.032,9.3
222,1.001,10
223,0.964,10.9
224,0.938,11.5
225,0.92,12
226,0.905,12.4
227,0.895,12.7
228,0.893,12.8
229,0.897,12.7
230,0.903,12.5
231,0.912,12.2
232,0.921,12
233,0.931,11.7
234,0.942,11.4
235,0.953,11.1
236,0.965,10.8
237,0.977,10.6
238,0.987,10.3
239,0.994,10.1
240,0.995,10.1
241,0.996,10.1
242,0.996,10.1
243,0.996,10.1
244,0.996,10.1
245,0.985,10.3
246,0.966,10.8
247,0.949,11.2
248,0.936,11.6
249,0.929,11.8
250,0.912,12.2
251,0.885,13
252,0.859,13.8
253,0.836,14.6
254,0.816,15.3
255,0.795,16
256,0.772,16.9
257,0.751,17.8
258,0.729,18.7
259,0.706,19.7
260,0.69,20.4
261,0.68,20.9
262,0.68,20.9
263,0.676,21.1
264,0.667,21.5
265,0.656,22.1
266,0.646,22.6
267,0.638,23
268,0.633,23.3
269,0.631,23.4
270,0.627,23.6
271,0.621,24
272,0.617,24.2
273,0.617,24.1
274,0.618,24.1
275,0.619,24
276,0.616,24.2
277,0.614,24.3
278,0.614,24.3
279,0.614,24.3
280,0.613,24.4
281,0.611,24.5
282,0.608,24.7
283,0.607,24.7
284,0.608,24.7
285,0.606,24.8
286,0.604,24.9
287,0.603,24.9
288,0.603,24.9
289,0.603,24.9
290,0.601,25.1
291,0.597,25.3
292,0.597,25.3
293,0.597,25.3
294,0.596,25.3
295,0.594,25.4
296,0.593,25.5
297,0.592,25.6
298,0.592,25.6
299,0.592,25.6
300,0.591,25.6
301,0.591,25.7
302,0.59,25.7
303,0.589,25.7
304,0.589,25.8
305,0.585,26
306,0.582,26.2
307,0.578,26.4
308,0.574,26.7
309,0.573,26.7
310,0.573,26.7
311,0.571,26.8
312,0.571,26.9
313,0.568,27.1
314,0.567,27.1
315,0.569,27
316,0.569,27
317,0.567,27.1
318,0.564,27.3
319,0.563,27.3
320,0.563,27.3
321,0.557,27.7
322,0.551,28.1
323,0.55,28.2
324,0.552,28.1
325,0.555,27.8
326,0.557,27.7
327,0.556,27.8
328,0.553,28
329,0.55,28.2
330,0.547,28.4
331,0.543,28.6
332,0.542,28.7
333,0.543,28.7
334,0.544,28.6
335,0.543,28.7
336,0.54,28.8
337,0.539,28.9
338,0.539,28.9
339,0.538,29
340,0.534,29.2
341,0.53,29.5
342,0.528,29.7
343,0.528,29.6
344,0.532,29.4
345,0.535,29.2
346,0.535,29.2
347,0.533,29.3
348,0.53,29.5
349,0.528,29.7
350,0.527,29.7
351,0.522,30.1
352,0.521,30.1
353,0.521,30.1
354,0.52,30.2
355,0.52,30.2
356,0.52,30.2
357,0.52,30.2
358,0.517,30.4
359,0.516,30.5
360,0.521,30.1
361,0.531,29.4
362,0.533,29.3
363,0.533,29.3
364,0.532,29.4
365,0.53,29.5
366,0.528,29.6
367,0.526,29.8
368,0.525,29.9
369,0.523,30
370,0.522,30.1
371,0.521,30.1
372,0.519,30.3
373,0.518,30.3
374,0.518,30.4
375,0.519,30.3
376,0.523,30
377,0.527,29.7
378,0.53,29.5
379,0.53,29.5
380,0.53,29.5
381,0.528,29.6
382,0.528,29.6
383,0.528,29.6
384,0.528,29.6
385,0.529,29.6
386,0.529,29.6
387,0.529,29.6
388,0.529,29.6
389,0.529,29.6
390,0.522,30.1
391,0.521,30.1
392,0.519,30.3
393,0.518,30.3
394,0.518,30.3
395,0.517,30.4
396,0.514,30.6
397,0.512,30.7
398,0.512,30.7
399,0.512,30.7
400,0.511,30.9
401,0.51,30.9
402,0.509,31
403,0.508,31
404,0.509,31
405,0.509,31
406,0.511,30.9
407,0.51,30.9
408,0.509,30.9
409,0.509,31
410,0.509,31
411,0.509,31
412,0.509,31
413,0.508,31
414,0.508,31
415,0.508,31.1
416,0.507,31.1
417,0.506,31.2
418,0.505,31.2
419,0.504,31.3
420,0.504,31.3
421,0.505,31.2
422,0.505,31.2
423,0.505,31.2
424,0.505,31.2
425,0.507,31.1
426,0.508,31.1
427,0.508,31.1
428,0.508,31.1
429,0.508,31.1
430,0.508,31.1
431,0.507,31.1
432,0.507,31.1
433,0.507,31.1
434,0.507,31.2
435,0.506,31.2
436,0.506,31.2
437,0.505,31.2
438,0.505,31.3
439,0.504,31.3
440,0.504,31.3
441,0.504,31.4
442,0.504,31.4
443,0.504,31.4
444,0.502,31.4
445,0.502,31.4
446,0.502,31.5
447,0.502,31.5
448,0.501,31.5
449,0.501,31.5
450,0.501,31.5
451,0.5,31.6
452,0.5,31.6
453,0.5,31.6
454,0.5,31.6
455,0.499,31.7
456,0.498,31.8
457,0.495,32
458,0.493,32.2
459,0.492,32.2
460,0.493,32.1
461,0.494,32.1
462,0.494,32.1
463,0.494,32.1
464,0.492,32.2
465,0.491,32.3
466,0.491,32.3
467,0.491,32.3
468,0.49,32.3
469,0.49,32.4
470,0.489,32.5
471,0.486,32.7
472,0.484,32.8
473,0.483,32.9
474,0.483,32.9
475,0.481,33
476,0.48,33.1
477,0.477,33.3
478,0.475,33.5
479,0.474,33.6
480,0.472,33.7
481,0.466,34.2
482,0.461,34.6
483,0.46,34.7
484,0.464,34.4
485,0.467,34.1
486,0.466,34.2
487,0.466,34.2
488,0.466,34.2
489,0.465,34.3
490,0.461,34.6
491,0.461,34.6
492,0.462,34.5
493,0.463,34.4
494,0.46,34.7
495,0.458,34.9
496,0.456,35
497,0.455,35.1
498,0.455,35.1
499,0.453,35.2
500,0.452,35.3
501,0.45,35.4
502,0.448,35.6
503,0.447,35.7
504,0.445,35.9
505,0.444,35.9
506,0.441,36.2
507,0.438,36.5
508,0.437,36.6
509,0.436,36.6
510,0.435,36.7
511,0.434,36.8
512,0.434,36.8
513,0.434,36.8
514,0.432,37
515,0.43,37.1
516,0.427,37.4
517,0.427,37.4
518,0.427,37.4
519,0.428,37.4
520,0.427,37.4
521,0.423,37.7
522,0.422,37.9
523,0.418,38.2
524,0.414,38.5
525,0.412,38.7
526,0.411,38.9
527,0.411,38.8
528,0.416,38.3
529,0.419,38.1
530,0.416,38.4
531,0.413,38.6
532,0.413,38.7
533,0.413,38.7
534,0.413,38.7
535,0.412,38.7
536,0.411,38.8
537,0.408,39.1
538,0.404,39.4
539,0.399,39.9
540,0.399,39.9
541,0.401,39.7
542,0.405,39.4
543,0.405,39.4
544,0.403,39.5
545,0.402,39.6
546,0.401,39.7
547,0.401,39.7
548,0.401,39.7
549,0.398,40
550,0.397,40.1
551,0.394,40.4
552,0.392,40.5
553,0.392,40.6
554,0.392,40.6
555,0.392,40.6
556,0.389,40.9
557,0.387,41
558,0.387,41.1
559,0.384,41.3
560,0.379,41.7
561,0.377,42
562,0.375,42.1
563,0.372,42.5
564,0.371,42.6
565,0.37,42.7
566,0.37,42.6
567,0.37,42.6
568,0.369,42.7
569,0.367,42.9
570,0.366,43
571,0.366,43.1
572,0.366,43
573,0.366,43
574,0.366,43
575,0.366,43
576,0.367,43
577,0.366,43
578,0.366,43
579,0.365,43.2
580,0.363,43.4
581,0.361,43.6
582,0.36,43.7
583,0.359,43.7
584,0.358,43.8
585,0.357,44
586,0.355,44.1
587,0.355,44.2
588,0.354,44.3
589,0.353,44.3
590,0.353,44.3
591,0.353,44.4
592,0.351,44.5
593,0.349,44.7
594,0.348,44.9
595,0.347,45
596,0.348,44.9
597,0.349,44.7
598,0.35,44.6
599,0.35,44.6
600,0.347,45
601,0.344,45.3
602,0.342,45.5
603,0.341,45.6
604,0.343,45.4
605,0.343,45.3
606,0.344,45.3
607,0.343,45.4
608,0.342,45.5
609,0.342,45.5
610,0.342,45.5
611,0.343,45.4
612,0.343,45.4
613,0.342,45.5
614,0.34,45.7
615,0.339,45.8
616,0.338,45.9
617,0.338,46
618,0.337,46
619,0.337,46.1
620,0.336,46.2
621,0.335,46.2
622,0.334,46.4
623,0.333,46.5
624,0.331,46.7
625,0.33,46.8
626,0.33,46.8
627,0.33,46.7
628,0.331,46.7
629,0.331,46.7
630,0.331,46.7
631,0.33,46.8
632,0.329,46.9
633,0.328,47
634,0.327,47
635,0.327,47.1
636,0.327,47.1
637,0.327,47.2
638,0.326,47.2
639,0.326,47.2
640,0.325,47.3
641,0.323,47.5
642,0.323,47.6
643,0.321,47.8
644,0.32,47.8
645,0.32,47.9
646,0.32,47.9
647,0.319,48
648,0.319,48
649,0.318,48
650,0.318,48.1
651,0.318,48.1
652,0.317,48.2
653,0.317,48.2
654,0.316,48.3
655,0.315,48.4
656,0.313,48.6
657,0.312,48.7
658,0.311,48.8
659,0.311,48.8
660,0.312,48.8
661,0.314,48.6
662,0.314,48.5
663,0.314,48.5
664,0.313,48.6
665,0.313,48.6
666,0.312,48.7
667,0.312,48.8
668,0.31,49
669,0.31,49
670,0.31,49
671,0.31,49
672,0.309,49.1
673,0.309,49.1
674,0.308,49.2
675,0.307,49.3
676,0.307,49.4
677,0.305,49.5
678,0.304,49.6
679,0.304,49.7
680,0.304,49.7
681,0.304,49.7
682,0.304,49.6
683,0.305,49.6
684,0.305,49.6
685,0.304,49.6
686,0.303,49.7
687,0.303,49.8
688,0.303,49.8
689,0.302,49.9
690,0.302,49.9
691,0.301,50
692,0.3,50.1
693,0.299,50.2
694,0.299,50.3
695,0.298,50.3
696,0.296,50.6
697,0.294,50.8
698,0.294,50.8
699,0.294,50.8
700,0.295,50.7
701,0.297,50.5
702,0.297,50.4
703,0.298,50.4
704,0.297,50.4
705,0.296,50.5
706,0.295,50.7
707,0.295,50.7
708,0.294,50.9
709,0.294,50.9
710,0.292,51
711,0.291,51.1
712,0.291,51.1
713,0.291,51.1
714,0.291,51.2
715,0.291,51.2
716,0.291,51.2
717,0.291,51.2
718,0.291,51.2
719,0.291,51.2
720,0.291,51.2
721,0.29,51.3
722,0.289,51.4
723,0.287,51.6
724,0.287,51.6
725,0.287,51.7
726,0.286,51.8
727,0.284,52.1
728,0.283,52.1
729,0.283,52.1
730,0.282,52.2
731,0.282,52.3
732,0.281,52.3
733,0.281,52.3
734,0.281,52.3
735,0.281,52.3
736,0.281,52.3
737,0.281,52.3
738,0.281,52.3
739,0.282,52.2
740,0.282,52.2
741,0.282,52.2
742,0.282,52.2
743,0.282,52.2
744,0.282,52.2
745,0.282,52.3
746,0.281,52.3
747,0.28,52.5
748,0.28,52.5
749,0.28,52.5
750,0.279,52.6
751,0.279,52.6
752,0.278,52.7
753,0.278,52.7
754,0.278,52.7
755,0.278,52.7
756,0.278,52.7
757,0.278,52.7
758,0.278,52.7
759,0.278,52.7
760,0.278,52.7
761,0.278,52.7
762,0.277,52.9
763,0.276,53
764,0.274,53.2
765,0.274,53.2
766,0.274,53.2
767,0.274,53.2
768,0.275,53.1
769,0.276,53
770,0.277,52.9
771,0.276,53
772,0.275,53.1
773,0.275,53.1
774,0.274,53.2
775,0.274,53.2
776,0.275,53.1
777,0.275,53.1
778,0.274,53.2
779,0.274,53.2
780,0.274,53.2
781,0.274,53.2
782,0.273,53.3
783,0.271,53.5
784,0.271,53.5
785,0.269,53.8
786,0.269,53.8
787,0.267,54.1
788,0.267,54.1
789,0.267,54.1
790,0.267,54.1
791,0.267,54.1
792,0.267,54.1
793,0.267,54.1
794,0.268,54
795,0.268,54
796,0.268,53.9
797,0.268,54
798,0.268,54
799,0.267,54
800,0.267,54
801,0.267,54.1
802,0.266,54.2
803,0.264,54.5
804,0.263,54.6
805,0.262,54.7
806,0.261,54.8
807,0.26,55
808,0.26,55
809,0.26,55
810,0.259,55
811,0.259,55
812,0.258,55.2
813,0.258,55.2
814,0.258,55.2
815,0.258,55.2
816,0.258,55.3
817,0.257,55.4
818,0.256,55.4
819,0.256,55.4
820,0.256,55.4
821,0.251,56
822,0.245,56.9
823,0.243,57.2
824,0.245,56.9
825,0.246,56.7
826,0.251,56.1
827,0.254,55.7
828,0.254,55.7
829,0.254,55.7
830,0.254,55.7
831,0.256,55.5
832,0.256,55.5
833,0.254,55.7
834,0.251,56.1
835,0.25,56.3
836,0.25,56.2
837,0.251,56
838,0.252,56
839,0.252,55.9
840,0.251,56.1
841,0.251,56.1
842,0.251,56.1
843,0.251,56.1
844,0.251,56.1
845,0.253,55.9
846,0.253,55.9
847,0.253,55.9
848,0.253,55.9
849,0.252,56
850,0.252,56
851,0.252,55.9
852,0.251,56.1
853,0.251,56.1
854,0.251,56.1
855,0.252,55.9
856,0.252,56
857,0.251,56.1
858,0.25,56.2
859,0.25,56.2
860,0.25,56.2
861,0.25,56.2
862,0.25,56.2
863,0.249,56.3
864,0.249,56.3
865,0.249,56.4
866,0.246,56.7
867,0.245,56.8
868,0.246,56.8
869,0.245,56.9
870,0.245,56.9
871,0.245,56.9
872,0.245,56.9
873,0.245,56.9
874,0.244,57
875,0.245,56.9
876,0.244,57
877,0.243,57.2
878,0.241,57.4
879,0.241,57.4
880,0.238,57.8
881,0.232,58.6
882,0.229,59
883,0.229,59
884,0.231,58.7
885,0.232,58.7
886,0.232,58.6
887,0.238,57.9
888,0.238,57.9
889,0.238,57.8
890,0.238,57.8
891,0.238,57.8
892,0.238,57.8
893,0.238,57.8
894,0.237,57.9
895,0.236,58.1
896,0.236,58.1
897,0.236,58.1
898,0.236,58.1
899,0.238,57.9
900,0.239,57.7
901,0.239,57.7
902,0.238,57.8
903,0.238,57.8
904,0.234,58.3
905,0.235,58.3
906,0.235,58.3
907,0.234,58.3
908,0.238,57.8
909,0.241,57.4
910,0.239,57.7
911,0.238,57.8
912,0.237,58
913,0.237,58
914,0.236,58
915,0.236,58.1
916,0.234,58.4
917,0.234,58.4
918,0.234,58.3
919,0.234,58.3
920,0.236,58.1
921,0.236,58
922,0.236,58.1
923,0.236,58.1
924,0.236,58.1
925,0.236,58.1
926,0.235,58.2
927,0.235,58.2
928,0.235,58.2
929,0.236,58.1
930,0.234,58.3
931,0.234,58.3
932,0.234,58.3
933,0.235,58.3
934,0.235,58.2
935,0.233,58.5
936,0.231,58.7
937,0.231,58.7
938,0.231,58.7
939,0.232,58.6
940,0.232,58.6
941,0.233,58.5
942,0.233,58.5
943,0.232,58.6
944,0.231,58.7
945,0.231,58.7
946,0.23,58.9
947,0.23,58.9
948,0.23,58.9
949,0.23,58.8
950,0.237,57.9
951,0.244,57
952,0.245,56.9
953,0.246,56.8
954,0.248,56.5
955,0.253,55.9
956,0.254,55.7
957,0.256,55.5
958,0.258,55.2
959,0.261,54.9
960,0.261,54.8
961,0.261,54.8
962,0.261,54.8
963,0.261,54.8
964,0.263,54.6
965,0.264,54.5
966,0.265,54.3
967,0.267,54.1
968,0.27,53.7
969,0.273,53.3
970,0.275,53.1
971,0.275,53.1
972,0.275,53.1
973,0.274,53.2
974,0.274,53.2
975,0.272,53.5
976,0.271,53.6
977,0.27,53.7
978,0.265,54.3
979,0.262,54.7
980,0.257,55.3
981,0.257,55.4
982,0.244,57
983,0.243,57.1
984,0.244,57
985,0.248,56.5
986,0.253,55.8
987,0.257,55.4
988,0.263,54.6
989,0.263,54.6
990,0.263,54.5
991,0.263,54.6
992,0.258,55.2
993,0.255,55.5
994,0.255,55.6
995,0.249,56.4
996,0.246,56.8
997,0.242,57.3
998,0.243,57.2
999,0.244,57
"1,000.00",0.245,56.8
"1,001.00",0.248,56.5
"1,002.00",0.25,56.3
"1,003.00",0.252,56
"1,004.00",0.252,55.9
"1,005.00",0.253,55.8
"1,006.00",0.253,55.8
"1,007.00",0.255,55.6
"1,008.00",0.255,55.6
"1,009.00",0.254,55.7
"1,010.00",0.254,55.7
"1,011.00",0.255,55.6
"1,012.00",0.255,55.6
"1,013.00",0.254,55.7
"1,014.00",0.248,56.5
"1,015.00",0.246,56.7
"1,016.00",0.247,56.6
"1,017.00",0.248,56.5
"1,018.00",0.248,56.4
"1,019.00",0.249,56.4
"1,020.00",0.251,56.1
"1,021.00",0.254,55.7
"1,022.00",0.255,55.5
"1,023.00",0.256,55.4
"1,024.00",0.26,55
"1,025.00",0.261,54.9
"1,026.00",0.263,54.6
"1,027.00",0.264,54.5
"1,028.00",0.264,54.5
"1,029.00",0.263,54.6
"1,030.00",0.263,54.6
"1,031.00",0.264,54.4
"1,032.00",0.266,54.2
"1,033.00",0.269,53.8
"1,034.00",0.271,53.6
"1,035.00",0.272,53.5
"1,036.00",0.272,53.4
"1,037.00",0.273,53.4
"1,038.00",0.274,53.2
"1,039.00",0.275,53.1
"1,040.00",0.277,52.9
"1,041.00",0.277,52.9
"1,042.00",0.278,52.7
"1,043.00",0.279,52.6
"1,044.00",0.279,52.6
"1,045.00",0.279,52.6
"1,046.00",0.28,52.5
"1,047.00",0.28,52.5
"1,048.00",0.28,52.5
"1,049.00",0.281,52.4
"1,050.00",0.281,52.4
"1,051.00",0.28,52.5
"1,052.00",0.28,52.5
"1,053.00",0.28,52.5
"1,054.00",0.28,52.5
"1,055.00",0.281,52.4
"1,056.00",0.283,52.1
"1,057.00",0.285,51.9
"1,058.00",0.289,51.4
"1,059.00",0.294,50.8
"1,060.00",0.301,50
"1,061.00",0.306,49.4
"1,062.00",0.303,49.8
"1,063.00",0.301,50
"1,064.00",0.302,49.9
"1,065.00",0.302,49.9
"1,066.00",0.302,49.9
"1,067.00",0.302,49.8
"1,068.00",0.305,49.6
"1,069.00",0.308,49.2
"1,070.00",0.312,48.7
"1,071.00",0.313,48.7
"1,072.00",0.315,48.4
"1,073.00",0.313,48.7
"1,074.00",0.314,48.5
"1,075.00",0.315,48.4
"1,076.00",0.316,48.3
"1,077.00",0.314,48.6
"1,078.00",0.314,48.5
"1,079.00",0.313,48.6
"1,080.00",0.313,48.6
"1,081.00",0.313,48.6
"1,082.00",0.313,48.6
"1,083.00",0.315,48.4
"1,084.00",0.315,48.4
"1,085.00",0.315,48.4
"1,086.00",0.314,48.6
"1,087.00",0.316,48.3
"1,088.00",0.32,47.9
"1,089.00",0.32,47.9
"1,090.00",0.322,47.7
"1,091.00",0.323,47.6
"1,092.00",0.323,47.6
"1,093.00",0.322,47.6
"1,094.00",0.322,47.6
"1,095.00",0.32,47.9
"1,096.00",0.32,47.9
"1,097.00",0.317,48.1
"1,098.00",0.328,47
"1,099.00",0.328,47
"1,100.00",0.145,71.5
