wavelength,S6 Post Heat,S6 Preheat,blank
190,1.6,1.9,89.3
191,1.5,1.766666667,89.5
192,1.45,1.633333333,91.3
193,1.4,1.6,91.9
194,1.375,1.533333333,93.3
195,1.35,1.5,94.1
196,1.325,1.5,94.5
197,1.3,1.5,94.9
198,1.3,1.5,95.3
199,1.3,1.5,95.4
200,1.3,1.533333333,95.9
201,1.3,1.6,96.9
202,1.325,1.633333333,97
203,1.4,1.7,97.2
204,1.475,1.8,97.3
205,1.525,1.9,97.8
206,1.675,2.033333333,97.8
207,1.8,2.266666667,97.8
208,2,2.5,97.7
209,2.225,2.833333333,97.6
210,2.5,3.2,97.6
211,2.8,3.6,97.5
212,3.15,4.033333333,97.5
213,3.525,4.566666667,97.5
214,3.925,5.133333333,97.6
215,4.05,5.433333333,97.9
216,4.35,5.9,98.1
217,4.8,6.5,98.3
218,5.325,7.166666667,98.2
219,5.825,7.9,98.5
220,6.325,8.6,98.6
221,6.9,9.4,98.6
222,7.4,10.1,98.7
223,8.05,11,98.7
224,8.6,11.63333333,98.6
225,8.95,12.13333333,98.6
226,9.25,12.53333333,98.6
227,9.475,12.83333333,98.7
228,9.5,12.86666667,98.8
229,9.3,12.73333333,98.8
230,9.125,12.5,98.9
231,8.925,12.26666667,99
232,8.775,12.06666667,99
233,8.625,11.76666667,98.9
234,8.425,11.46666667,98.8
235,8.2,11.2,98.8
236,7.95,10.93333333,98.8
237,7.75,10.63333333,98.6
238,7.6,10.36666667,98.5
239,7.475,10.23333333,98.5
240,7.425,10.16666667,98.5
241,7.425,10.16666667,98.6
242,7.4,10.13333333,98.7
243,7.325,10.1,99
244,7.35,10.1,98.9
245,7.575,10.33333333,98.9
246,8,10.83333333,98.9
247,8.325,11.23333333,98.9
248,8.55,11.6,99
249,8.75,11.86666667,99.1
250,9.125,12.33333333,99.1
251,9.625,13.1,99
252,10.225,13.93333333,98.8
253,10.825,14.7,98.8
254,11.325,15.4,98.8
255,11.925,16.13333333,98.8
256,12.525,17,98.8
257,13.225,17.9,98.7
258,13.95,18.9,98.6
259,14.675,19.8,98.6
260,15.25,20.56666667,98.6
261,15.525,20.93333333,98.7
262,15.675,21,98.8
263,15.9,21.26666667,98.8
264,16.175,21.73333333,98.7
265,16.575,22.26666667,98.7
266,16.975,22.76666667,98.7
267,17.325,23.16666667,98.5
268,17.525,23.43333333,98.5
269,17.675,23.56666667,98.5
270,17.9,23.83333333,98.4
271,18.2,24.13333333,98.2
272,18.325,24.33333333,98.2
273,18.3,24.33333333,98.2
274,18.225,24.23333333,98.2
275,18.25,24.23333333,98.2
276,18.4,24.4,98.2
277,18.525,24.5,98.2
278,18.55,24.6,98.2
279,18.6,24.63333333,98.1
280,18.675,24.66666667,98.1
281,18.925,24.83333333,98.1
282,19.075,24.93333333,98.1
283,19.1,24.93333333,97.9
284,19.075,24.96666667,97.9
285,19.15,25.06666667,97.9
286,19.2,25.2,97.9
287,19.225,25.16666667,97.9
288,19.275,25.16666667,97.9
289,19.3,25.23333333,97.9
290,19.45,25.36666667,97.9
291,19.6,25.53333333,97.9
292,19.6,25.53333333,98
293,19.625,25.56666667,98
294,19.725,25.63333333,98
295,19.95,25.9,97.9
296,20.075,25.93333333,98
297,20.125,25.93333333,98.2
298,20.125,25.93333333,98.1
299,20.1,25.93333333,98.1
300,20.1,25.93333333,98.1
301,20.125,26,98.1
302,20.25,26,98.1
303,20.325,26.03333333,98.1
304,20.4,26.13333333,98.1
305,20.55,26.33333333,98
306,20.75,26.53333333,98
307,21.025,26.6,98
308,21.125,26.93333333,98
309,21.225,27,98.1
310,21.3,27,98.1
311,21.325,27.03333333,98.2
312,21.4,27.06666667,98.2
313,21.6,27.23333333,98.1
314,21.75,27.33333333,98.1
315,21.675,27.23333333,98
316,21.625,27.16666667,98
317,21.725,27.23333333,97.9
318,22,27.5,97.9
319,22.05,27.6,97.9
320,22.075,27.6,97.9
321,22.4,27.93333333,97.9
322,22.85,28.33333333,98
323,22.95,28.43333333,98
324,22.775,28.3,98
325,22.65,28.2,98
326,22.625,28.1,98.1
327,22.7,28.1,98.1
328,22.9,28.2,98
329,23.175,28.4,98
330,23.45,28.7,98
331,23.625,28.9,98
332,23.625,28.93333333,98
333,23.6,28.83333333,98
334,23.575,28.83333333,97.9
335,23.725,28.86666667,98
336,23.9,29.03333333,98
337,23.975,29.1,98.1
338,24.025,29.13333333,98.1
339,24.15,29.26666667,98.1
340,24.35,29.5,98.1
341,24.625,29.73333333,98.1
342,24.825,29.86666667,98.1
343,24.725,29.86666667,98
344,24.575,29.6,98
345,24.45,29.4,97.9
346,24.475,29.43333333,97.9
347,24.7,29.7,97.9
348,24.875,29.83333333,97.9
349,24.975,29.9,97.9
350,25.25,30.03333333,97.8
351,25.3,30.36666667,97.9
352,25.35,30.4,97.9
353,25.375,30.46666667,97.9
354,25.525,30.53333333,97.9
355,25.5,30.5,97.4
356,25.45,30.43333333,97.4
357,25.4,30.43333333,97.4
358,25.525,30.53333333,97.4
359,25.7,30.6,97.5
360,25.35,30.3,97.4
361,24.7,29.83333333,97.4
362,24.6,29.63333333,97.4
363,24.65,29.63333333,97.4
364,24.875,29.7,97.3
365,25.05,29.76666667,97.3
366,25.15,29.9,97.3
367,25.325,30,97.5
368,25.45,30.16666667,97.5
369,25.6,30.23333333,97.4
370,25.65,30.33333333,97.4
371,25.675,30.33333333,97.5
372,25.725,30.43333333,97.6
373,25.85,30.6,97.6
374,25.925,30.63333333,97.6
375,25.95,30.63333333,97.5
376,25.575,30.3,97.2
377,25.35,29.93333333,97.2
378,25.2,29.66666667,97.2
379,25.25,29.66666667,97.2
380,25.375,29.76666667,97.2
381,25.45,29.86666667,97.1
382,25.45,29.86666667,97.1
383,25.425,29.86666667,97.1
384,25.425,29.83333333,97.1
385,25.425,29.83333333,97.1
386,25.4,29.8,97.1
387,25.375,29.8,97.2
388,25.425,29.8,97.2
389,25.525,29.76666667,97.2
390,26.1,30.3,97.1
391,26.225,30.56666667,97.1
392,26.4,30.7,96.8
393,26.4,30.76666667,96.9
394,26.4,30.76666667,97.4
395,26.475,30.8,97.5
396,26.55,30.93333333,97.6
397,26.675,30.93333333,97.6
398,26.675,30.96666667,97.5
399,26.725,31.03333333,97.5
400,26.775,31.13333333,97.5
401,26.95,31.2,97.4
402,26.975,31.33333333,97.3
403,26.95,31.33333333,97.3
404,26.9,31.33333333,97.3
405,26.825,31.26666667,97.4
406,26.85,31.23333333,97.4
407,26.975,31.23333333,97.7
408,27.025,31.23333333,97.7
409,27.025,31.23333333,97.7
410,27.025,31.23333333,97.7
411,27,31.23333333,97.7
412,27.025,31.23333333,97.7
413,27.05,31.26666667,97.7
414,27.075,31.26666667,97.7
415,27.15,31.3,97.7
416,27.225,31.3,97.7
417,27.4,31.43333333,97.8
418,27.475,31.46666667,97.8
419,27.575,31.56666667,97.8
420,27.575,31.6,98
421,27.575,31.56666667,98
422,27.55,31.5,98
423,27.5,31.5,98
424,27.5,31.46666667,97.9
425,27.475,31.43333333,98
426,27.475,31.36666667,97.9
427,27.475,31.33333333,98
428,27.475,31.33333333,97.9
429,27.475,31.33333333,98
430,27.5,31.3,97.9
431,27.55,31.3,97.9
432,27.625,31.33333333,97.9
433,27.7,31.33333333,97.7
434,27.7,31.4,97.8
435,27.75,31.43333333,98
436,27.775,31.43333333,98
437,27.85,31.46666667,97.9
438,27.95,31.56666667,97.9
439,27.975,31.6,98.1
440,28.075,31.63333333,98.1
441,28.125,31.66666667,98.1
442,28.125,31.6,98
443,28.15,31.6,98
444,28.25,31.66666667,98
445,28.325,31.7,97.9
446,28.35,31.8,98
447,28.35,31.8,98
448,28.35,31.8,98
449,28.375,31.8,98
450,28.45,31.8,98
451,28.5,31.9,98
452,28.525,31.9,98
453,28.525,31.9,98
454,28.525,31.9,98
455,28.65,31.9,98
456,28.8,32.03333333,98
457,28.95,32.13333333,98
458,29.1,32.36666667,98
459,29.225,32.43333333,98
460,29.2,32.4,98.1
461,29.125,32.3,98
462,29.1,32.33333333,98
463,29.15,32.36666667,97.9
464,29.2,32.4,97.9
465,29.3,32.5,97.9
466,29.325,32.56666667,97.8
467,29.375,32.6,97.8
468,29.4,32.66666667,97.8
469,29.5,32.7,97.8
470,29.6,32.76666667,97.8
471,29.75,32.86666667,97.8
472,29.85,33.06666667,97.8
473,29.95,33.2,97.9
474,29.975,33.2,97.9
475,30.075,33.33333333,97.9
476,30.275,33.46666667,97.9
477,30.35,33.56666667,97.9
478,30.475,33.63333333,97.9
479,30.6,33.83333333,97.9
480,30.95,34.1,97.9
481,31.35,34.53333333,98
482,31.8,34.86666667,97.9
483,31.85,34.9,98
484,31.475,34.63333333,98.1
485,31.225,34.4,98.1
486,31.325,34.46666667,98
487,31.4,34.56666667,98
488,31.4,34.56666667,98
489,31.5,34.63333333,98
490,31.775,34.9,97.9
491,31.9,34.96666667,97.9
492,31.675,34.86666667,97.9
493,31.65,34.8,97.9
494,31.85,35.03333333,97.9
495,32.175,35.26666667,97.8
496,32.3,35.4,97.8
497,32.35,35.46666667,97.8
498,32.375,35.53333333,97.8
499,32.45,35.6,97.8
500,32.65,35.7,97.8
501,32.8,35.86666667,97.8
502,33,36.03333333,97.8
503,33.1,36.13333333,97.8
504,33.25,36.2,97.8
505,33.35,36.33333333,97.8
506,33.525,36.56666667,97.8
507,33.725,36.7,97.9
508,33.85,36.83333333,97.9
509,33.95,36.9,97.9
510,34.05,37.03333333,97.8
511,34.1,37.13333333,97.8
512,34.125,37.13333333,97.8
513,34.2,37.2,97.7
514,34.4,37.4,97.8
515,34.7,37.7,97.8
516,34.825,37.86666667,97.8
517,34.875,37.9,97.9
518,34.8,37.9,97.9
519,34.825,37.76666667,97.8
520,34.875,37.8,97.8
521,35.05,38.06666667,97.8
522,35.375,38.4,97.8
523,35.7,38.66666667,97.8
524,35.925,38.86666667,97.7
525,36.2,39.16666667,97.9
526,36.25,39.23333333,97.9
527,36.225,39.2,97.9
528,35.675,38.66666667,97.8
529,35.375,38.43333333,97.8
530,35.725,38.66666667,97.8
531,36.125,39.03333333,97.7
532,36.175,39.1,97.7
533,36.075,39.06666667,97.7
534,36.1,39.1,97.8
535,36.325,39.2,97.8
536,36.375,39.23333333,97.7
537,36.55,39.53333333,97.7
538,37.075,39.86666667,97.6
539,37.5,40.33333333,97.6
540,37.5,40.3,97.6
541,37.05,40,97.6
542,36.8,39.8,97.6
543,36.85,39.8,97.7
544,37,39.9,97.7
545,37.225,40.13333333,97.7
546,37.225,40.2,97.7
547,37.225,40.16666667,97.7
548,37.3,40.13333333,97.6
549,37.575,40.33333333,97.6
550,37.825,40.63333333,97.6
551,38,40.83333333,97.7
552,38.025,40.93333333,97.7
553,38.05,40.93333333,97.8
554,38.15,41,97.8
555,38.35,41.1,97.8
556,38.475,41.26666667,97.9
557,38.6,41.36666667,98
558,38.775,41.53333333,97.9
559,38.95,41.7,97.9
560,39.325,42.23333333,97.9
561,39.475,42.46666667,98
562,39.625,42.6,98
563,39.8,42.96666667,98
564,39.925,43.03333333,97.9
565,40,43.06666667,98
566,40,43,98
567,40.075,43,98
568,40.225,43.13333333,98
569,40.4,43.4,98
570,40.45,43.46666667,98
571,40.5,43.46666667,97.9
572,40.5,43.46666667,98
573,40.5,43.43333333,98
574,40.5,43.43333333,98
575,40.5,43.43333333,98
576,40.5,43.4,98
577,40.6,43.43333333,98
578,40.65,43.5,97.9
579,40.775,43.63333333,97.9
580,40.925,43.8,98
581,41.05,43.93333333,98
582,41.2,44,98
583,41.275,44.1,98.1
584,41.375,44.16666667,98.2
585,41.525,44.3,98.2
586,41.675,44.5,98.2
587,41.825,44.56666667,98.1
588,41.85,44.6,98
589,41.875,44.7,98.1
590,41.9,44.7,98.1
591,41.925,44.76666667,98.1
592,42.15,44.9,98.1
593,42.325,45.1,98.1
594,42.5,45.2,98.1
595,42.6,45.26666667,98.1
596,42.55,45.23333333,98.2
597,42.425,45.03333333,98.1
598,42.4,44.96666667,98.1
599,42.45,45,98
600,42.7,45.3,98
601,42.875,45.6,98.1
602,43.225,45.83333333,98.1
603,43.275,45.93333333,98.2
604,43.225,45.83333333,98.1
605,43.075,45.63333333,98
606,43.025,45.53333333,98
607,43.1,45.7,98
608,43.325,45.83333333,98
609,43.325,45.86666667,98
610,43.3,45.83333333,98
611,43.2,45.73333333,98
612,43.225,45.76666667,97.9
613,43.325,45.9,98
614,43.45,46,98
615,43.6,46.13333333,98.1
616,43.725,46.26666667,98.1
617,43.775,46.33333333,98.1
618,43.875,46.4,98.1
619,43.95,46.5,98.2
620,44.025,46.53333333,98.2
621,44.125,46.6,98.1
622,44.225,46.7,98.2
623,44.4,46.86666667,98.2
624,44.55,47,98.2
625,44.7,47.1,98.2
626,44.65,47.1,98.2
627,44.525,47.06666667,98.2
628,44.5,47,98.2
629,44.5,47,98.1
630,44.575,47,98.1
631,44.725,47.2,98.1
632,44.825,47.3,98.1
633,44.9,47.33333333,98.1
634,44.9,47.36666667,98.1
635,44.925,47.4,98.2
636,44.95,47.4,98.2
637,45.05,47.5,98.2
638,45.125,47.53333333,98.2
639,45.175,47.6,98.2
640,45.325,47.76666667,98.2
641,45.425,47.86666667,98.3
642,45.45,47.9,98.3
643,45.6,47.96666667,98.3
644,45.675,48.06666667,98.4
645,45.775,48.1,98.3
646,45.85,48.16666667,98.3
647,45.925,48.26666667,98.3
648,46,48.26666667,98.3
649,46.05,48.36666667,98.3
650,46.175,48.4,98.3
651,46.225,48.46666667,98.3
652,46.225,48.53333333,98.4
653,46.225,48.53333333,98.4
654,46.325,48.56666667,98.4
655,46.45,48.73333333,98.4
656,46.625,48.9,98.4
657,46.825,49.1,98.4
658,46.95,49.13333333,98.4
659,46.95,49.13333333,98.4
660,46.775,49.03333333,98.4
661,46.6,48.9,98.4
662,46.6,48.83333333,98.3
663,46.625,48.83333333,98.3
664,46.725,49,98.3
665,46.85,49,98.3
666,47,49.16666667,98.3
667,47.075,49.23333333,98.3
668,47.175,49.3,98.3
669,47.225,49.36666667,98.4
670,47.25,49.36666667,98.4
671,47.275,49.43333333,98.4
672,47.3,49.43333333,98.3
673,47.3,49.43333333,98.3
674,47.425,49.5,98.3
675,47.5,49.6,98.3
676,47.575,49.7,98.3
677,47.75,49.83333333,98.3
678,47.9,49.96666667,98.3
679,48.025,50.03333333,98.3
680,48.025,50.03333333,98.3
681,47.975,50.03333333,98.3
682,47.9,49.96666667,98.3
683,47.9,49.93333333,98.3
684,47.9,49.93333333,98.3
685,47.925,49.93333333,98.2
686,48.025,50.1,98.3
687,48.1,50.16666667,98.3
688,48.125,50.2,98.3
689,48.25,50.3,98.3
690,48.275,50.3,98.3
691,48.325,50.33333333,98.2
692,48.375,50.4,98.2
693,48.5,50.5,98.3
694,48.65,50.56666667,98.3
695,48.825,50.73333333,98.3
696,49.025,50.96666667,98.4
697,49.3,51.13333333,98.4
698,49.325,51.16666667,98.4
699,49.175,51.13333333,98.4
700,49.025,51.06666667,98.4
701,48.775,50.83333333,98.4
702,48.75,50.8,98.4
703,48.875,50.76666667,98.3
704,48.95,50.9,98.5
705,49,51,98.5
706,49.125,51.1,98.5
707,49.225,51.13333333,98.5
708,49.325,51.2,98.6
709,49.35,51.26666667,98.6
710,49.4,51.33333333,98.6
711,49.425,51.36666667,98.6
712,49.45,51.36666667,98.6
713,49.525,51.36666667,98.6
714,49.55,51.4,98.5
715,49.575,51.5,98.5
716,49.625,51.53333333,98.6
717,49.65,51.53333333,98.6
718,49.675,51.53333333,98.6
719,49.675,51.53333333,98.6
720,49.75,51.56666667,98.6
721,49.775,51.63333333,98.6
722,49.8,51.73333333,98.6
723,49.9,51.83333333,98.6
724,49.975,51.93333333,98.6
725,50.025,51.96666667,98.6
726,50.125,52.03333333,98.6
727,50.175,52.2,98.6
728,50.25,52.3,99
729,50.3,52.43333333,99.2
730,50.4,52.53333333,99.5
731,50.475,52.53333333,99.5
732,50.5,52.6,99.6
733,50.5,52.63333333,99.6
734,50.5,52.63333333,99.7
735,50.55,52.63333333,99.7
736,50.6,52.63333333,99.7
737,50.65,52.63333333,99.6
738,50.7,52.63333333,99.5
739,50.775,52.63333333,98.9
740,50.775,52.6,98.8
741,50.8,52.63333333,98.7
742,50.875,52.66666667,98.7
743,50.925,52.66666667,98.8
744,50.975,52.66666667,98.6
745,51.025,52.66666667,98.7
746,51.05,52.7,98.7
747,51.1,52.8,98.7
748,51.225,52.83333333,98.7
749,51.25,52.83333333,98.6
750,51.275,52.83333333,98.6
751,51.25,52.9,98.6
752,51.25,53.03333333,98.6
753,51.3,53,98.4
754,51.3,53,98.4
755,51.225,53.03333333,98.5
756,51.325,53,98.5
757,51.25,53.03333333,98.4
758,51.325,52.96666667,98.3
759,51.425,52.96666667,98.2
760,51.425,53,98.2
761,51.475,53.06666667,98.2
762,51.55,53.26666667,98.3
763,51.95,53.5,98.4
764,52.075,53.66666667,98.4
765,52,53.6,98.4
766,51.9,53.53333333,98.4
767,51.85,53.53333333,98.5
768,51.875,53.43333333,98.2
769,51.825,53.43333333,98.4
770,51.775,53.43333333,98.4
771,51.8,53.46666667,98.5
772,51.85,53.5,98.7
773,51.875,53.53333333,98.7
774,51.925,53.53333333,98.6
775,51.9,53.56666667,98.6
776,52.025,53.5,98.3
777,52.025,53.53333333,98.2
778,52.075,53.53333333,98.2
779,51.975,53.6,98.6
780,52.075,53.63333333,98.8
781,52.1,53.7,98.8
782,52.1,53.7,98.6
783,52.05,53.8,98.7
784,52.15,53.8,98.7
785,52.2,53.86666667,98.8
786,52.4,53.9,98.8
787,52.5,54.13333333,98.8
788,52.575,54.23333333,98.8
789,52.65,54.23333333,98.6
790,52.675,54.36666667,98.4
791,52.675,54.36666667,98.4
792,52.675,54.4,98.4
793,52.625,54.36666667,98.4
794,52.625,54.36666667,98.4
795,52.625,54.33333333,98.4
796,52.625,54.3,98.4
797,52.65,54.3,98.4
798,52.65,54.3,98.4
799,52.7,54.36666667,98.6
800,52.825,54.46666667,98.6
801,53,54.53333333,98.6
802,53.175,54.7,98.7
803,53.325,54.83333333,98.7
804,53.6,55,98.7
805,53.625,55.06666667,98.7
806,53.7,55.13333333,98.7
807,53.775,55.23333333,98.7
808,53.875,55.33333333,98.7
809,53.925,55.3,98.7
810,54,55.33333333,98.7
811,54.025,55.36666667,98.7
812,54.15,55.5,99
813,54.175,55.46666667,98.9
814,54.15,55.43333333,98.8
815,54.15,55.43333333,98.7
816,54.2,55.5,98.5
817,54.275,55.53333333,98.7
818,54.275,55.56666667,98.7
819,54.25,55.7,98.7
820,54.5,55.73333333,98.7
821,55.125,56.36666667,98.7
822,56.15,57.16666667,98.8
823,56.75,57.63333333,98.8
824,56.5,57.33333333,99
825,55.325,56.96666667,99
826,54.85,56.5,99.1
827,54.775,56.26666667,98.9
828,54.825,56.36666667,98.9
829,54.775,56.13333333,98.9
830,54.65,56.13333333,99
831,54.425,56,99
832,54.45,55.9,98.7
833,54.775,56.26666667,98.7
834,55.425,56.66666667,98.8
835,55.5,56.7,98.8
836,55.125,56.6,98.9
837,54.85,56.36666667,98.9
838,54.8,56.3,98.8
839,54.675,56.3,98.8
840,54.725,56.33333333,98.8
841,54.975,56.26666667,98.8
842,54.975,56.33333333,98.8
843,54.975,56.3,98.7
844,55.075,56.3,98.8
845,55.125,56.2,98.4
846,55.05,56.26666667,98.4
847,54.95,56.26666667,98.6
848,55,56.26666667,98.5
849,54.95,56.46666667,98.5
850,55.05,56.5,98.5
851,55.15,56.43333333,98.5
852,55.175,56.66666667,98.8
853,55.275,56.6,98.9
854,55.325,56.6,99.2
855,55.4,56.53333333,99.1
856,55.475,56.63333333,99.1
857,55.425,56.66666667,99.2
858,55.35,56.56666667,99.2
859,55.45,56.56666667,99.1
860,55.45,56.66666667,99.1
861,55.7,56.53333333,98.7
862,55.675,56.5,98.5
863,55.625,56.7,98.5
864,55.7,56.76666667,98.5
865,55.675,56.83333333,98.7
866,55.7,57,99.1
867,55.725,57.03333333,99.2
868,55.675,57.1,99
869,55.7,57.16666667,98.6
870,55.7,57.16666667,98.6
871,55.725,57.33333333,99.1
872,55.775,57.26666667,99.1
873,55.775,57.26666667,99
874,55.975,57.36666667,99.1
875,56.175,57.33333333,98.8
876,56.2,57.4,98.9
877,56.175,57.5,99
878,56.325,57.56666667,99
879,56.425,57.63333333,98.9
880,56.775,58,99.2
881,57.6,58.4,99.4
882,57.7,59.06666667,99.4
883,57.475,58.8,99.4
884,57.425,58.63333333,99.2
885,57.35,58.56666667,99.3
886,56.35,58.16666667,99.2
887,56.05,57.96666667,99.1
888,56.125,57.9,99.1
889,56.45,57.93333333,99.2
890,56.45,57.96666667,99.3
891,56.475,57.96666667,99.3
892,56.625,57.96666667,99.3
893,56.85,58,99.2
894,56.975,58.1,99.2
895,57.25,58.33333333,99.2
896,57.25,58.5,99.3
897,57.05,58.6,99.4
898,57.025,58.6,99.4
899,56.975,58.36666667,99.3
900,56.95,58.23333333,99.2
901,56.925,58.16666667,99.2
902,56.925,58.16666667,99.2
903,57.075,58.23333333,99.2
904,57.475,58.56666667,99.2
905,57.725,58.63333333,99.1
906,57.675,58.56666667,99
907,57.5,58.46666667,99.1
908,57.25,58.3,99
909,57.125,57.83333333,99
910,57.075,57.96666667,99
911,57.1,58.13333333,99.1
912,57.15,58.26666667,99.1
913,57.25,58.33333333,99.1
914,57.325,58.36666667,99.1
915,57.625,58.5,99.2
916,58.025,58.66666667,99.2
917,58.225,58.9,99.4
918,58.15,58.83333333,99.3
919,57.975,58.9,99.5
920,57.55,58.5,99.7
921,57.25,58.26666667,99.6
922,57.25,58.43333333,99.6
923,57.3,58.6,99.5
924,57.3,58.6,99.4
925,57.3,58.6,99.4
926,57.425,58.6,99.3
927,57.425,58.56666667,99.1
928,57.4,58.63333333,99.2
929,57.45,58.7,99.3
930,57.45,58.7,99.2
931,57.5,58.73333333,99.2
932,57.5,58.73333333,99.2
933,57.475,58.73333333,99.2
934,57.575,58.73333333,99.2
935,57.625,58.83333333,99.3
936,57.8,58.86666667,99.4
937,57.825,58.9,99.4
938,57.925,58.9,99
939,58.05,58.9,99
940,58.025,59.03333333,99
941,58.025,59,98.9
942,58,58.93333333,98.7
943,57.95,58.93333333,98.7
944,57.95,59,98.8
945,57.975,59.03333333,98.9
946,58,59.03333333,99.2
947,58.075,59.1,99.2
948,58.075,59.1,99.2
949,58.075,59.13333333,99.2
950,57.15,58.23333333,99.2
951,56,57.13333333,99.1
952,55.825,56.96666667,98.9
953,55.45,56.83333333,98.9
954,55.1,56.7,98.9
955,54.825,56.23333333,98.9
956,54.75,56.06666667,98.9
957,54.375,56,98.9
958,54.15,55.73333333,98.9
959,53.95,55.43333333,98.9
960,53.9,55.3,98.9
961,53.775,55.13333333,98.9
962,53.65,55.03333333,98.9
963,53.575,54.96666667,98.9
964,53.375,54.83333333,98.9
965,53.2,54.73333333,98.9
966,53.1,54.56666667,98.9
967,52.85,54.33333333,98.9
968,52.625,54.13333333,98.9
969,52.225,53.7,98.9
970,51.85,53.4,98.9
971,51.725,53.33333333,98.9
972,51.8,53.33333333,98.8
973,51.85,53.5,98.9
974,52.025,53.66666667,98.9
975,52.325,53.9,99
976,52.4,53.96666667,99
977,52.425,53.9,98.8
978,52.75,54.46666667,99.4
979,53.25,54.96666667,99.6
980,54.575,55.8,99.5
981,55.4,55.86666667,99.2
982,55.925,57.56666667,100
983,56,57.96666667,100
984,55.9,57.8,99.9
985,54.975,56.4,99.1
986,54.4,55.93333333,99.1
987,53.425,55.3,99.3
988,53.2,54.86666667,99.5
989,53.15,54.66666667,99.4
990,53.2,54.63333333,99.4
991,53.425,54.8,99.1
992,53.85,55.3,99.2
993,54.575,55.93333333,99
994,57.525,55.83333333,98.6
995,57.75,57.4,98.9
996,57.575,57.8,99.1
997,57.25,57.9,99.1
998,57,57.73333333,99
999,56.4,57.4,98.9
1000,55.8,57.03333333,98.8
1001,55.375,56.8,98.8
1002,55.275,56.43333333,98.8
1003,55.05,56.06666667,98.8
1004,54.975,56.06666667,98.9
1005,54.975,56.06666667,99
1006,54.975,56.1,99.4
1007,54.975,56.06666667,99.3
1008,54.875,56.1,99.3
1009,54.825,56.13333333,99.2
1010,54.85,56.03333333,99.2
1011,54.825,56.06666667,99.2
1012,54.875,56.16666667,99.1
1013,55.25,56.26666667,99.1
1014,55.575,56.56666667,99.1
1015,55.45,56.8,99.7
1016,55.45,56.66666667,99.1
1017,55.525,56.53333333,98.8
1018,55.5,56.5,98.9
1019,55.125,56.4,99.2
1020,54.825,56.4,99.3
1021,54.55,56.26666667,98.9
1022,54.375,55.9,99
1023,54.35,55.46666667,98.9
1024,54,55.43333333,98.9
1025,53.925,55.23333333,98.9
1026,53.675,55.06666667,98.9
1027,53.575,55,99
1028,53.325,54.96666667,98.9
1029,53.25,54.96666667,98.9
1030,53.225,54.93333333,98.9
1031,53.175,54.86666667,99
1032,53.075,54.83333333,99
1033,52.975,54.3,98.8
1034,52.975,54.26666667,98.8
1035,52.925,54.13333333,98.8
1036,52.775,53.96666667,98.6
1037,52.65,53.76666667,98.6
1038,52.125,53.73333333,98.6
1039,52.05,53.3,98.6
1040,51.85,53.26666667,98.6
1041,51.65,53.13333333,98.6
1042,51.425,53,98.5
1043,51.3,52.93333333,98.5
1044,51.325,52.8,98.4
1045,51.25,52.73333333,98.4
1046,51.35,52.7,98.4
1047,51.225,52.63333333,98.5
1048,51.225,52.66666667,98.6
1049,51.2,52.6,98.6
1050,51.35,52.63333333,98.6
1051,51.4,52.5,98.6
1052,51.25,52.46666667,98.6
1053,51.175,52.36666667,98.7
1054,50.95,52.36666667,98.9
1055,50.8,52.3,98.7
1056,50.725,52.3,98.7
1057,50.325,51.93333333,98.7
1058,49.6,51.26666667,98.7
1059,48.575,50.9,98.7
1060,48.05,50.8,98.8
1061,47.95,50.16666667,98.6
1062,47.85,50.03333333,98.7
1063,47.9,49.96666667,98.7
1064,47.875,49.8,98.8
1065,47.925,49.8,98.8
1066,47.925,49.8,98.7
1067,47.95,49.73333333,98.8
1068,47.875,49.66666667,98.9
1069,47.525,49.36666667,98.8
1070,47.125,49.3,98.8
1071,46.95,49.13333333,98.8
1072,46.9,49.26666667,98.8
1073,46.975,49.23333333,98.7
1074,46.9,49.03333333,98.4
1075,46.925,48.8,98.3
1076,46.575,48.43333333,97.8
1077,46.775,48.36666667,97.9
1078,46.5,48.36666667,97.9
1079,46.45,48.46666667,98
1080,46.475,48.6,98.4
1081,46.5,48.53333333,98.3
1082,46.425,48.5,98.4
1083,46.3,48.46666667,98.4
1084,46.35,48.43333333,98.4
1085,46.6,48.53333333,98.5
1086,46.6,48.7,98.4
1087,46.5,48.7,98.4
1088,46.35,48.46666667,98.4
1089,46.05,48.3,98.5
1090,45.8,48.1,98.6
1091,45.7,47.73333333,98.5
1092,45.65,47.73333333,98.6
1093,45.7,47.93333333,98.7
1094,45.6,48.13333333,98.9
1095,45.625,48.16666667,98.5
1096,45.575,48,98.6
1097,45.475,47.73333333,98.6
1098,45.45,47.5,98.6
1099,45.4,47.43333333,99.1
1100,65.025,59.53333333,99.4
